param N_REAL_ESTATES = 5;
param N_BUSINESSES = 5;

param : REAL_ESTATE_LNG, REAL_ESTATE_LAT, CRIME_RATIO = 
  1     20.93912,        52.242363,       0.3
  2     21.035892,       52.19933,        0.7
  3     20.93506,        52.208607,       0.2
  4     21.05177,        52.1858,         0.6
  5     21.02965,        52.210087,       0.9 
;

param : BUSINESS_LNG, BUSINESS_LAT =
  1     21.016396,    52.230225,
  2     21.01411,     52.231316,
  3     21.013966,    52.230064,
  4     21.017317,    52.232807,
  5     21.019701,    52.23323,
;
